elapsed_time,tempC_amb,elapsed_time_formatted,tempF_amb,tempC_probe,tempF_probe,time_stamp,humidity
1172,1.0,0:19:32,33.8,14.312000000000001,57.875,08/12/19 19:45:26,27.0
1182,1.0,0:19:42,33.8,14.25,57.650000000000006,08/12/19 19:45:36,27.0
1192,1.0,0:19:52,33.8,14.187000000000001,57.53660000000001,08/12/19 19:45:46,27.0
1202,1.0,0:20:02,33.8,14.125,57.425,08/12/19 19:45:56,27.0
1212,1.0,0:20:12,33.8,14.0,57.3116,08/12/19 19:46:06,27.0
1222,1.0,0:20:22,33.8,13.937000000000001,57.086600000000004,08/12/19 19:46:16,27.0
1232,1.0,0:20:32,33.8,13.875,56.975,08/12/19 19:46:26,27.0
1242,1.0,0:20:42,33.8,13.812000000000001,56.8616,08/12/19 19:46:36,27.0
1252,1.0,0:20:52,33.8,13.75,56.6366,08/12/19 19:46:46,27.0
1262,1.0,0:21:02,33.8,13.625,56.525000000000006,08/12/19 19:46:56,27.0
1272,1.0,0:21:12,33.8,13.562000000000001,56.41160000000001,08/12/19 19:47:06,27.0
1282,1.0,0:21:22,33.8,13.5,56.3,08/12/19 19:47:16,27.0
1292,1.0,0:21:32,33.8,13.437000000000001,56.1866,08/12/19 19:47:26,27.0
1302,1.0,0:21:42,33.8,13.375,56.075,08/12/19 19:47:36,27.0
1312,1.0,0:21:52,33.8,13.25,55.961600000000004,08/12/19 19:47:46,27.0
1322,1.0,0:22:02,33.8,13.187,55.736599999999996,08/12/19 19:47:56,27.0
1332,1.0,0:22:12,33.8,13.125,55.625,08/12/19 19:48:06,27.0
1342,1.0,0:22:22,33.8,13.062,55.5116,08/12/19 19:48:16,27.0
1352,1.0,0:22:32,33.8,13.0,55.400000000000006,08/12/19 19:48:26,27.0
1362,1.0,0:22:42,33.8,12.937,55.2866,08/12/19 19:48:36,27.0
1372,1.0,0:22:52,33.8,12.812,55.175,08/12/19 19:48:46,27.0
1382,1.0,0:23:02,33.8,12.75,54.95,08/12/19 19:48:56,27.0
1392,1.0,0:23:12,33.8,12.687,54.836600000000004,08/12/19 19:49:06,27.0
1402,1.0,0:23:22,33.8,12.625,54.725,08/12/19 19:49:16,27.0
1412,1.0,0:23:32,33.8,12.562,54.611599999999996,08/12/19 19:49:26,27.0
1422,1.0,0:23:42,33.8,12.5,54.5,08/12/19 19:49:36,27.0
1432,1.0,0:23:52,33.8,12.437,54.3866,08/12/19 19:49:46,27.0
1442,1.0,0:24:02,33.8,12.312,54.275000000000006,08/12/19 19:49:56,27.0
1452,1.0,0:24:12,33.8,12.25,54.05,08/12/19 19:50:06,27.0
1462,1.0,0:24:22,33.8,12.187,53.9366,08/12/19 19:50:16,27.0
1472,1.0,0:24:32,33.8,12.125,53.825,08/12/19 19:50:26,27.0
1482,1.0,0:24:42,33.8,12.062,53.711600000000004,08/12/19 19:50:36,27.0
1492,1.0,0:24:52,33.8,12.0,53.6,08/12/19 19:50:46,27.0
1502,1.0,0:25:02,33.8,11.937,53.486599999999996,08/12/19 19:50:56,27.0
1512,1.0,0:25:12,33.8,11.875,53.375,08/12/19 19:51:06,27.0
1522,1.0,0:25:22,33.8,11.812,53.2616,08/12/19 19:51:16,27.0
1532,1.0,0:25:32,33.8,11.75,53.150000000000006,08/12/19 19:51:26,27.0
1542,1.0,0:25:42,33.8,11.687,53.0366,08/12/19 19:51:36,27.0
1552,1.0,0:25:52,33.8,11.625,52.925,08/12/19 19:51:46,27.0
1562,1.0,0:26:02,33.8,11.5,52.8116,08/12/19 19:51:56,27.0
1572,1.0,0:26:12,33.8,11.437,52.586600000000004,08/12/19 19:52:06,27.0
1582,1.0,0:26:22,33.8,11.375,52.475,08/12/19 19:52:16,27.0
1592,1.0,0:26:32,33.8,11.312,52.361599999999996,08/12/19 19:52:26,27.0
1602,1.0,0:26:42,33.8,11.25,52.25,08/12/19 19:52:36,27.0
1612,1.0,0:26:52,33.8,11.187,52.1366,08/12/19 19:52:46,27.0
1622,1.0,0:27:02,33.8,11.125,52.025000000000006,08/12/19 19:52:56,27.0
1632,1.0,0:27:12,33.8,11.062,51.9116,08/12/19 19:53:06,27.0
1642,1.0,0:27:22,33.8,11.0,51.8,08/12/19 19:53:16,27.0
1652,1.0,0:27:32,33.8,10.937,51.6866,08/12/19 19:53:26,27.0
1662,1.0,0:27:42,33.8,10.875,51.575,08/12/19 19:53:36,27.0
1672,1.0,0:27:52,33.8,10.812,51.461600000000004,08/12/19 19:53:46,27.0
1682,1.0,0:28:02,33.8,10.75,51.35,08/12/19 19:53:56,27.0
1692,1.0,0:28:12,33.8,10.687,51.236599999999996,08/12/19 19:54:06,27.0
1702,1.0,0:28:22,33.8,10.625,51.125,08/12/19 19:54:16,27.0
1712,1.0,0:28:32,33.8,10.562,51.0116,08/12/19 19:54:26,27.0
1722,1.0,0:28:42,33.8,10.5,50.900000000000006,08/12/19 19:54:36,27.0
1732,1.0,0:28:52,33.8,10.375,50.675,08/12/19 19:54:46,27.0
